onset	duration	trial_type
0.001	0.001	1
0.001	0.001	1283
0.021	0.001	47
1.206	0.001	1285
1.206	0.001	265
1.241	0.001	47
1.501	0.001	34053
3.241	0.001	47
5.241	0.001	47
7.241	0.001	47
9.241	0.001	47
11.241	0.001	47
12.185	0.001	10
13.241	0.001	47
14.109	0.001	768
14.185	0.001	10
15.241	0.001	47
16.185	0.001	10
17.241	0.001	47
18.185	0.001	10
19.241	0.001	47
20.185	0.001	10
21.241	0.001	47
22.185	0.001	10
23.241	0.001	47
24.185	0.001	10
25.241	0.001	47
26.185	0.001	10
27.241	0.001	47
28.185	0.001	10
29.241	0.001	47
30.185	0.001	10
31.241	0.001	47
32.185	0.001	10
33.241	0.001	47
34.185	0.001	10
35.241	0.001	47
36.185	0.001	10
37.241	0.001	47
38.185	0.001	10
39.241	0.001	47
40.185	0.001	10
41.241	0.001	47
42.185	0.001	10
43.241	0.001	47
44.185	0.001	10
45.241	0.001	47
46.185	0.001	10
47.241	0.001	47
48.185	0.001	10
49.241	0.001	47
50.185	0.001	10
51.241	0.001	47
52.185	0.001	10
53.241	0.001	47
54.185	0.001	10
55.241	0.001	47
56.185	0.001	10
57.241	0.001	47
58.185	0.001	10
59.241	0.001	47
60.185	0.001	10
61.241	0.001	47
62.185	0.001	10
63.241	0.001	47
64.185	0.001	10
65.241	0.001	47
66.185	0.001	10
67.241	0.001	47
68.185	0.001	10
69.241	0.001	47
70.185	0.001	10
71.241	0.001	47
72.185	0.001	10
73.241	0.001	47
74.185	0.001	10
75.241	0.001	47
76.185	0.001	10
77.241	0.001	47
78.185	0.001	10
79.241	0.001	47
80.185	0.001	10
81.241	0.001	47
82.185	0.001	10
83.241	0.001	47
84.185	0.001	10
85.241	0.001	47
86.185	0.001	10
87.241	0.001	47
88.185	0.001	10
89.241	0.001	47
90.185	0.001	10
91.241	0.001	47
92.185	0.001	10
93.241	0.001	47
94.185	0.001	10
95.241	0.001	47
96.185	0.001	10
97.241	0.001	47
98.185	0.001	10
99.241	0.001	47
100.185	0.001	10
101.241	0.001	47
102.185	0.001	10
103.241	0.001	47
104.185	0.001	10
105.241	0.001	47
106.185	0.001	10
107.241	0.001	47
108.185	0.001	10
109.241	0.001	47
110.185	0.001	10
111.241	0.001	47
112.185	0.001	10
113.241	0.001	47
114.185	0.001	10
115.241	0.001	47
116.185	0.001	10
117.241	0.001	47
118.185	0.001	10
119.241	0.001	47
120.185	0.001	10
121.241	0.001	47
122.185	0.001	10
123.241	0.001	47
124.185	0.001	10
125.241	0.001	47
126.185	0.001	10
127.241	0.001	47
128.185	0.001	10
129.241	0.001	47
130.185	0.001	10
131.241	0.001	47
132.185	0.001	10
133.241	0.001	47
134.185	0.001	10
135.241	0.001	47
136.185	0.001	10
137.241	0.001	47
138.185	0.001	10
139.241	0.001	47
140.185	0.001	10
141.241	0.001	47
142.185	0.001	10
143.241	0.001	47
144.185	0.001	10
145.241	0.001	47
146.185	0.001	10
147.241	0.001	47
148.185	0.001	10
149.241	0.001	47
150.185	0.001	10
151.241	0.001	47
152.185	0.001	10
153.241	0.001	47
154.185	0.001	10
155.241	0.001	47
156.185	0.001	10
157.241	0.001	47
158.185	0.001	10
159.241	0.001	47
160.185	0.001	10
161.241	0.001	47
162.185	0.001	10
163.241	0.001	47
164.185	0.001	10
165.241	0.001	47
166.185	0.001	10
167.241	0.001	47
168.185	0.001	10
169.241	0.001	47
170.185	0.001	10
171.241	0.001	47
172.185	0.001	10
172.254	0.001	768
173.241	0.001	47
174.185	0.001	10
175.241	0.001	47
176.185	0.001	10
177.241	0.001	47
178.185	0.001	10
179.241	0.001	47
180.185	0.001	10
181.241	0.001	47
182.185	0.001	10
183.241	0.001	47
184.185	0.001	10
185.241	0.001	47
186.185	0.001	10
187.241	0.001	47
188.185	0.001	10
189.241	0.001	47
190.185	0.001	10
191.241	0.001	47
192.185	0.001	10
193.241	0.001	47
194.185	0.001	10
195.241	0.001	47
196.185	0.001	10
197.241	0.001	47
198.185	0.001	10
199.241	0.001	47
200.185	0.001	10
201.241	0.001	47
202.185	0.001	10
203.241	0.001	47
204.185	0.001	10
205.241	0.001	47
206.185	0.001	10
207.241	0.001	47
208.185	0.001	10
209.241	0.001	47
210.185	0.001	10
211.241	0.001	47
212.185	0.001	10
213.241	0.001	47
214.185	0.001	10
215.241	0.001	47
216.185	0.001	10
217.241	0.001	47
218.185	0.001	10
219.241	0.001	47
220.185	0.001	10
221.241	0.001	47
222.185	0.001	10
223.241	0.001	47
224.185	0.001	10
225.241	0.001	47
226.185	0.001	10
227.241	0.001	47
228.185	0.001	10
229.241	0.001	47
230.185	0.001	10
231.241	0.001	47
232.185	0.001	10
233.241	0.001	47
234.185	0.001	10
235.241	0.001	47
236.185	0.001	10
237.241	0.001	47
238.185	0.001	10
239.241	0.001	47
240.185	0.001	10
241.241	0.001	47
242.185	0.001	10
243.241	0.001	47
244.185	0.001	10
245.241	0.001	47
246.185	0.001	10
247.241	0.001	47
248.185	0.001	10
249.241	0.001	47
250.185	0.001	10
251.241	0.001	47
252.185	0.001	10
253.241	0.001	47
254.185	0.001	10
255.241	0.001	47
256.185	0.001	10
257.241	0.001	47
258.185	0.001	10
259.241	0.001	47
260.185	0.001	10
261.241	0.001	47
262.185	0.001	10
263.241	0.001	47
264.185	0.001	10
265.241	0.001	47
266.185	0.001	10
267.241	0.001	47
268.185	0.001	10
269.241	0.001	47
270.185	0.001	10
271.241	0.001	47
272.185	0.001	10
273.241	0.001	47
274.185	0.001	10
275.241	0.001	47
276.185	0.001	10
277.241	0.001	47
278.185	0.001	10
279.241	0.001	47
280.185	0.001	10
281.241	0.001	47
282.185	0.001	10
283.241	0.001	47
284.185	0.001	10
285.241	0.001	47
286.185	0.001	10
287.241	0.001	47
288.185	0.001	10
289.241	0.001	47
290.185	0.001	10
291.241	0.001	47
292.185	0.001	10
293.241	0.001	47
294.185	0.001	10
295.241	0.001	47
296.185	0.001	10
297.241	0.001	47
298.185	0.001	10
299.241	0.001	47
300.185	0.001	10
301.241	0.001	47
302.185	0.001	10
303.241	0.001	47
304.185	0.001	10
305.241	0.001	47
306.185	0.001	10
307.241	0.001	47
308.185	0.001	10
309.241	0.001	47
310.185	0.001	10
311.241	0.001	47
312.185	0.001	10
313.241	0.001	47
314.185	0.001	10
315.241	0.001	47
316.185	0.001	10
317.241	0.001	47
318.185	0.001	10
319.241	0.001	47
320.185	0.001	10
321.241	0.001	47
322.185	0.001	10
323.241	0.001	47
324.185	0.001	10
325.241	0.001	47
326.185	0.001	10
327.241	0.001	47
328.185	0.001	10
329.241	0.001	47
330.185	0.001	10
331.241	0.001	47
332.185	0.001	10
333.241	0.001	47
334.185	0.001	10
335.241	0.001	47
336.185	0.001	10
337.241	0.001	47
338.185	0.001	10
339.241	0.001	47
339.316	0.001	768
340.185	0.001	10
341.241	0.001	47
342.185	0.001	10
343.241	0.001	47
344.185	0.001	10
345.241	0.001	47
346.185	0.001	10
347.241	0.001	47
348.185	0.001	10
349.241	0.001	47
350.185	0.001	10
351.241	0.001	47
352.185	0.001	10
353.241	0.001	47
354.185	0.001	10
355.241	0.001	47
356.185	0.001	10
357.241	0.001	47
358.185	0.001	10
359.241	0.001	47
360.185	0.001	10
361.241	0.001	47
362.185	0.001	10
